rho E momentum
1.25000000e-01 4.67712856e-56 2.50000000e-01
1.25000000e-01 7.46686348e-58 2.50000000e-01
1.25000000e-01 1.18651847e-59 2.50000000e-01
1.25000000e-01 1.88871847e-61 2.50000000e-01
1.25000000e-01 3.02236338e-63 2.50000000e-01
1.25000000e-01 4.91110728e-65 2.50000000e-01
1.25000000e-01 8.10566960e-67 2.50000000e-01
1.25000000e-01 1.35099983e-68 2.50000000e-01
1.25000000e-01 2.25258738e-70 2.50000000e-01
1.25000000e-01 3.77198857e-72 2.50000000e-01
1.25000000e-01 6.43462708e-74 2.50000000e-01
1.25000000e-01 1.13124955e-75 2.50000000e-01
1.25000000e-01 2.04106516e-77 2.50000000e-01
1.25000000e-01 3.72206031e-79 2.50000000e-01
1.25000000e-01 6.72141476e-81 2.50000000e-01
1.25000000e-01 1.18087177e-82 2.50000000e-01
1.25000000e-01 2.00160110e-84 2.50000000e-01
1.25000000e-01 3.28193120e-86 2.50000000e-01
1.25000000e-01 5.34683960e-88 2.50000000e-01
